"id","car_model_id","car_generation_id","name","created_at","updated_at"
"974","703",NULL,"Suburban",NULL,NULL
"975","704",NULL,"Syclone",NULL,NULL
"976","705",NULL,"Terrain",NULL,NULL
"977","706",NULL,"Typhoon",NULL,NULL
"978","707",NULL,"Vandura",NULL,NULL
"980","709",NULL,"Troy",NULL,NULL
"981","710",NULL,"Coolbear",NULL,NULL
"994","721",NULL,"Sailor",NULL,NULL
"995","722",NULL,"Sing RUV",NULL,NULL
"996","723",NULL,"Socool",NULL,NULL
"1006","732",NULL,"7",NULL,NULL
"1007","733",NULL,"M3",NULL,NULL
"1008","734",NULL,"Ambassador",NULL,NULL
"1009","735",NULL,"Contessa",NULL,NULL
"1018","741",NULL,"Combo",NULL,NULL
"1021","743",NULL,"Cruze",NULL,NULL
"1022","744",NULL,"Frontera",NULL,NULL
"1023","745",NULL,"Jackaroo",NULL,NULL
"1024","746",NULL,"Monaro",NULL,NULL
"1025","747",NULL,"Rodeo",NULL,NULL
"1031","752",NULL,"Zafira",NULL,NULL
"1034","754",NULL,"Airwave",NULL,NULL
"1035","755",NULL,"Ascot",NULL,NULL
"1036","756",NULL,"Avancier",NULL,NULL
"1046","765",NULL,"CR-Z",NULL,NULL
"1047","766",NULL,"Crossroad",NULL,NULL
"1050","769",NULL,"Edix",NULL,NULL
"1052","771",NULL,"Elysion",NULL,NULL
"1053","772",NULL,"FCX Clarity",NULL,NULL
"1054","773",NULL,"Fit Aria",NULL,NULL
"1056","775",NULL,"FR-V",NULL,NULL
"1057","776",NULL,"Freed",NULL,NULL
"1063","781",NULL,"Integra SJ",NULL,NULL
"1069","786",NULL,"MDX",NULL,NULL
"1070","787",NULL,"Mobilio",NULL,NULL
"1071","788",NULL,"NSX",NULL,NULL
"1074","791",NULL,"Orthia",NULL,NULL
"1079","796",NULL,"Quint",NULL,NULL
"1080","797",NULL,"Rafaga",NULL,NULL
"1081","798",NULL,"Ridgeline",NULL,NULL
"1082","799",NULL,"S-MX",NULL,NULL
"1083","800",NULL,"S2000",NULL,NULL
"1085","802",NULL,"Shuttle",NULL,NULL
"1088","805",NULL,"That'S",NULL,NULL
"1089","806",NULL,"Today",NULL,NULL
"1090","807",NULL,"Torneo",NULL,NULL
"1094","811",NULL,"Zest",NULL,NULL
"1095","812",NULL,"Antelope",NULL,NULL
"1096","813",NULL,"Landscape",NULL,NULL
"1097","814",NULL,"Plutus",NULL,NULL
"1104","817",NULL,"H3",NULL,NULL
"1107","819",NULL,"Atos",NULL,NULL
"1109","821",NULL,"Centennial",NULL,NULL
"1111","823",NULL,"Dynasty",NULL,NULL
"1119","829",NULL,"Genesis Coupe",NULL,NULL
"1131","836",NULL,"ix20",NULL,NULL
"1132","837",NULL,"ix35",NULL,NULL
"1133","838",NULL,"ix55",NULL,NULL
"1136","840",NULL,"Lavita",NULL,NULL
"1137","841",NULL,"Marcia",NULL,NULL
"1138","842",NULL,"Matrix",NULL,NULL
"1139","843",NULL,"Maxcruz",NULL,NULL
"1142","846",NULL,"Santamo",NULL,NULL
"1143","847",NULL,"Scoupe",NULL,NULL
"1148","851",NULL,"Stellar",NULL,NULL
"1149","852",NULL,"Terracan",NULL,NULL
"1151","854",NULL,"Trajet",NULL,NULL
"1153","856",NULL,"Tuscani",NULL,NULL
"1154","857",NULL,"Veloster",NULL,NULL
"1159","861",NULL,"EX",NULL,NULL
"1165","865",NULL,"J",NULL,NULL
"1166","866",NULL,"JX",NULL,NULL
"1169","869",NULL,"Q50",NULL,NULL
"1172","872",NULL,"QX50",NULL,NULL
"1173","873",NULL,"QX60",NULL,NULL
"1174","874",NULL,"QX70",NULL,NULL
"1180","878",NULL,"Mini",NULL,NULL
"1181","879",NULL,"S1",NULL,NULL
"1183","881",NULL,"Samand",NULL,NULL
"1184","882",NULL,"Soren",NULL,NULL
"1185","883",NULL,"Commendatore 112i",NULL,NULL
"1186","884",NULL,"Imperator 108i",NULL,NULL
"1187","885",NULL,"Spyder",NULL,NULL
"1203","896",NULL,"MU-7",NULL,NULL
"1207","899",NULL,"Stylus",NULL,NULL
"1213","902",NULL,"VehiCross",NULL,NULL
"1215","904",NULL,"Massif",NULL,NULL
"1216","905",NULL,"J2 (Yueyue)",NULL,NULL
"1219","907",NULL,"J5 (Heyue)",NULL,NULL
"1220","908",NULL,"J6 (Heyue RS)",NULL,NULL
"1221","909",NULL,"J7 (Binyue)",NULL,NULL
"1222","910",NULL,"Refine",NULL,NULL
"1224","912",NULL,"S5 (Eagle)",NULL,NULL
"1230","916",NULL,"S-Type",NULL,NULL
"1236","920",NULL,"XJ220",NULL,NULL
"1242","924",NULL,"CJ",NULL,NULL
"1243","925",NULL,"Commander",NULL,NULL
"1246","928",NULL,"Grand Wagoneer",NULL,NULL
"1248","930",NULL,"Liberty (Patriot)",NULL,NULL
"1251","932",NULL,"S-V8",NULL,NULL
"1252","933",NULL,"Baodian",NULL,NULL
"1256","935",NULL,"Cadenza",NULL,NULL
"1257","936",NULL,"Capital",NULL,NULL
"1268","942",NULL,"Concord",NULL,NULL
"1269","943",NULL,"Elan",NULL,NULL
"1270","944",NULL,"Enterprise",NULL,NULL
"1271","945",NULL,"Joice",NULL,NULL
"1273","947",NULL,"Mohave (Borrego)",NULL,NULL
"1274","948",NULL,"Opirus",NULL,NULL
"1278","951",NULL,"Potentia",NULL,NULL
"1281","953",NULL,"Quoris",NULL,NULL
"1282","954",NULL,"Ray",NULL,NULL
"1283","955",NULL,"Retona",NULL,NULL
"1295","962",NULL,"Spectra",NULL,NULL
"1297","964",NULL,"Venga",NULL,NULL
"1298","965",NULL,"Visto",NULL,NULL
"1313","971",NULL,"One:1",NULL,NULL
"1314","972",NULL,"X-Bow",NULL,NULL
"1317","974",NULL,"Countach",NULL,NULL
"1320","976",NULL,"Espada",NULL,NULL
"1323","978",NULL,"Huracán",NULL,NULL
"1324","979",NULL,"Jalpa",NULL,NULL
"1325","980",NULL,"Jarama",NULL,NULL
"1326","981",NULL,"LM001",NULL,NULL
"1327","982",NULL,"LM002",NULL,NULL
"1330","984",NULL,"Reventon",NULL,NULL
"1355","1001",NULL,"Thesis",NULL,NULL
"1356","1002",NULL,"Trevi",NULL,NULL
"1357","1003",NULL,"Y10",NULL,NULL
"1359","1005",NULL,"Zeta",NULL,NULL
"1369","1012",NULL,"Series I",NULL,NULL
"1370","1013",NULL,"Series II",NULL,NULL
"1371","1014",NULL,"Series III",NULL,NULL
"1372","1015",NULL,"Fashion (CV9)",NULL,NULL
"1373","1016",NULL,"Forward",NULL,NULL
"1374","1017",NULL,"X5",NULL,NULL
"1382","1025",NULL,"LFA",NULL,NULL
"1385","1028",NULL,"RC",NULL,NULL
"1388","1031",NULL,"Leopard",NULL,NULL
"1391","1033",NULL,"Cebrium (720)",NULL,NULL
"1394","1036",NULL,"X60",NULL,NULL
"1396","1037",NULL,"Aviator",NULL,NULL
"1399","1040",NULL,"Mark LT",NULL,NULL
"1400","1041",NULL,"Mark VII",NULL,NULL
"1401","1042",NULL,"Mark VIII",NULL,NULL
"1402","1043",NULL,"MKC",NULL,NULL
"1419","1051",NULL,"Eclat",NULL,NULL
"1420","1052",NULL,"Elan",NULL,NULL
"1422","1054",NULL,"Elite",NULL,NULL
"1424","1056",NULL,"Europa",NULL,NULL
"1425","1057",NULL,"Europa S",NULL,NULL
"1426","1058",NULL,"Evora",NULL,NULL
"1427","1059",NULL,"Excel",NULL,NULL
"1439","1071",NULL,"Commander",NULL,NULL
"1440","1072",NULL,"Marshal",NULL,NULL
"1444","1074",NULL,"NC 640 DP",NULL,NULL
"1454","1082",NULL,"Mantis",NULL,NULL
"1455","1083",NULL,"Marcasite",NULL,NULL
