"id","car_brand_id","name","created_at","updated_at"
"183","24","EB 112",NULL,NULL
"184","24","EB 16.4 Veyron",NULL,NULL
"185","25","Century",NULL,NULL
"186","25","Electra",NULL,NULL
"187","25","Enclave",NULL,NULL
"188","25","Excelle",NULL,NULL
"189","25","GL8",NULL,NULL
"190","25","LaCrosse",NULL,NULL
"191","25","LeSabre",NULL,NULL
"192","25","Lucerne",NULL,NULL
"193","25","Park Avenue",NULL,NULL
"194","25","Rainer",NULL,NULL
"195","25","Reatta",NULL,NULL
"196","25","Regal",NULL,NULL
"197","25","Rendezvous",NULL,NULL
"198","25","Riviera",NULL,NULL
"199","25","Roadmaster",NULL,NULL
"200","25","Skylark",NULL,NULL
"201","25","Terraza",NULL,NULL
"202","26","E6",NULL,NULL
"203","26","F0",NULL,NULL
"204","26","F3",NULL,NULL
"205","26","F6",NULL,NULL
"206","26","F8",NULL,NULL
"207","26","Flyer",NULL,NULL
"208","26","G3",NULL,NULL
"209","26","G6",NULL,NULL
"210","26","L3",NULL,NULL
"211","26","M6",NULL,NULL
"212","26","S6",NULL,NULL
"213","27","BD132J (CoCo)",NULL,NULL
"214","27","BD326J (Moca)",NULL,NULL
"215","28","Allante",NULL,NULL
"216","28","ATS",NULL,NULL
"217","28","BLS",NULL,NULL
"218","28","Brougham",NULL,NULL
"219","28","Catera",NULL,NULL
"220","28","CTS",NULL,NULL
"221","28","De Ville",NULL,NULL
"222","28","DTS",NULL,NULL
"223","28","Eldorado",NULL,NULL
"224","28","Escalade",NULL,NULL
"225","28","Fleetwood",NULL,NULL
"226","28","LSE",NULL,NULL
"227","28","Seville",NULL,NULL
"228","28","Sixty Special",NULL,NULL
"229","28","SRX",NULL,NULL
"230","28","STS",NULL,NULL
"231","28","XLR",NULL,NULL
"232","28","XTS",NULL,NULL
"233","29","C12",NULL,NULL
"234","30","FX4",NULL,NULL
"235","31","21",NULL,NULL
"236","31","CSR",NULL,NULL
"237","31","Seven",NULL,NULL
"238","32","Benni",NULL,NULL
"239","32","CS35",NULL,NULL
"240","32","Eado",NULL,NULL
"241","32","Raeton",NULL,NULL
"242","32","Z-Shine",NULL,NULL
"244","33","Flying",NULL,NULL
"245","33","SUV (CS6)",NULL,NULL
"247","34","Amulet (A15)",NULL,NULL
"248","34","Bonus (A13)",NULL,NULL
"249","34","CrossEastar (B14)",NULL,NULL
"250","34","Fora (A21)",NULL,NULL
"251","34","IndiS (S18D)",NULL,NULL
"252","34","Kimo (A1)",NULL,NULL
"253","34","Oriental Son (B11)",NULL,NULL
"254","34","QQ6 (S21)",NULL,NULL
"255","34","Sweet (QQ)",NULL,NULL
"256","34","Tiggo (T11)",NULL,NULL
"257","34","Very",NULL,NULL
"258","35","Alero",NULL,NULL
"259","35","Astra",NULL,NULL
"260","35","Astro",NULL,NULL
"261","35","Avalanche",NULL,NULL
"262","35","Aveo",NULL,NULL
"263","35","Beretta",NULL,NULL
"264","35","Blazer",NULL,NULL
"265","35","Blazer K5",NULL,NULL
